Drink name,Spec,Drink link,Method,Glassware,garnish,Family,Month and date,Notes,Dink image,Origin
Announcer,"20ml cognac
20ml gin
20ml lemon juice
20ml dry curaçao ",Brandy,Shake,Coupette,,Sour,,Jones bar guide,,Classic
Astoria Hotel Special,"50ml Cognac
20ml lemon
20ml Maraschino
Egg white
dash absinthe
top soda",Brandy,shake and top,Fizz,,Fizz,,"Charles H Baker
 gentleman companion",,Classic
B&B,"30ml cognac
30ml Benedictine 
",Brandy,Stir,Rocks,Lemon Twist,Sipper,,Drank in north France and in Burnley working men’s club,,Classic
Betsy Ross,"40ml cognac
20ml ruby port
15ml grand marnier 
2 dash ango",Brandy,Stir,Rocks,nutmeg,Sipper,,Cosby Gaige cocktail guide and ladies companion 1941,,Classic
Brandy Crusta,"45ml cognac
15ml Marachino
15ml Cointreau
20ml Lemon juice
2 dash Ango",Brandy,Shake,Coupette,Sugar rim,Sour,,"Make lemon sherbet
",2021-06-10 19.27.38.jpg (https://v5.airtableusercontent.com/v3/u/48/48/1766390400000/p-LCIrIRHm7RJpnUaCx7fQ/YiYIURlpWJyxUvYLELhVrXDMOSpUg4c5sw574W7rIIID0ewRhwG3-4teO5V68SsQ88uIXcC-QuhAoV9YlbvyZePDTx91Kr50kRETJZTU3rTqQGtWAzj5C8VL1s28wYcwDh_B_WHg33vHfiS8VyOWBII5CkX1ZwlV-yIjKqCaiko/lwMRZ_AbWT8N7jHhTjYfwwWBRlBf7wLo_opjgfAxROk),
Champs Elysses,"40ml Cognac
15ml Yellow Chartreuse
20ml Lemon juice
10-15ml sugar
2 dash Ango",Brandy,Shake,Coupette,Lemon Twist,Aromatic,,,,Classic
Classico,"40ml cognac
20ml cassis",Brandy,,,,Martini,,,,
Corpse reviver #1,"30ml cognac
30ml calvados
30ml sweet vermouth",Brandy,Shake,Coupette,"orange twist,Lemon Twist",Sipper,,Decide on garnish,,Classic
Corpse Reviver 1,"40ml Cognac
15ml Applejack
25ml Sweet Vermouth
2 dash ango",Brandy,Stir,Coupette,Cherry,Manhatten,,Harry Craddock 1930,,Classic
Cuban No.1,"40ml Cognac
20ml Apry
20ml lemon juice",Brandy,Shake,Coupette,,Sour,,Harry Craddock 1930,,Classic
Deauville,"20ml Applejack
20ml Cognac
20ml lemon
15ml dry triple sec
bsp sugar ",Brandy,Shake,Coupette,Lemon Twist,Sipper,,Harry Craddock 1930,,Classic
Deauville,"20ml cognac 
20ml applejack 
20ml dry curaçao 
20ml lemon juice ",Brandy,Shake,Coupette,,Aromatic,,Boozy side car variant,,Classic
Fish House punch,"40ml cognac 
10ml Jamaican rum
10ml Peche 
30ml lemon 
5ml sugar ",Brandy,,Rocks,,Punch,,,,
Harvard,"50ml Cognac
25ml sweet vermouth
2 dash ango",Brandy,Stir,Coupette,Cherry,Manhatten,,Cocktails: how to mix them 1922 Robert Vermeire,,Classic
Hoop La,"25ml lemon, 25ml bianco vermouth, 25ml curacao, 25ml cognac",Brandy,Shake,Coupette,Lemon Twist,Sour,,"Harry Craddock 1930, AKA Old McIntyre, Frank Sullivan or Hey Hey",,Classic
Japanese,"60ml Cognac
15ml Orgeat
3 dash ango",Brandy,Stir,Coupette,Lemon Twist,Sipper,,Jerry Thomas 1862,,Classic
Last round,"25ml cognac
25ml gin
25ml Dry Vermouth
dash absinthe",Brandy,Stir,Coupette,Lemon Twist,Martini,,Frank meier 1934,,Classic
Montana,"50ml Cognac
15ml Dry Vermouth
15ml Ruby port",Brandy,Stir,Coupette,Lemon Twist,Sipper,,"David Embury
the fine art of mixing drinks 1948",,Classic
Odd McIntyre,"20ml cognac
20ml cointreu
20ml cocchi americano
20ml lemon juice",Brandy,Shake,Coupette,Lemon Twist,Sour,,Harry Craddock 1930,,Classic
Sazerac (New Orleans),"50ml Cognac
5-10ml sugar syrup
3 dash Peychauds
Absinthe rinse glass",Brandy,Stir,Small Rocks,Lemon Twist,Sipper,,,,Classic
Side car,"45ml Brandy
20ml Triple sec
20ml lemon",Brandy,Shake,Coupette,Lemon Twist,Sour,,,,Classic
Stinger,"60ml Cognac
30ml Creme de Menthe",Brandy,Shake,Rocks,,Sipper,,,,
Strawberry Cocktail,"30 cognac
10 maraschino
20 fraise
25 lemon
3 dash orange bitters",Brandy,Shake,Coupette,Lemon twist discard,Sour,,,,
Vanilla Punch,"40ml Cognac
20ml Lemon
20ml Licor 43",Brandy,Shake,Rocks,"Cherry,orange slice",Sour,,Jerry Thomas 1862,,Classic
Corn and oil,"40ml Barbados rum 
15ml falernum
2 dash ango
Shake 
Float 15ml black strap rum ",Dark Rum,shake and top,Rocks,,Tiki,,Check speck - float black strap syrup?,,
Barracuda,"25ml White rum
25ml Fino sherry 
25ml Sugar
25ml Lime 
3 dash orange bitters
",White Rum,Shake,Coupette,Naked,Sour,,Felix - the everleigh,,Modern Classic
Brunswick sour,"45ml white rum
25ml lime juice
20ml sugar
Float claret / blackberry wine",White Rum,shake and top,Custom,Blackberry,Sour,,"Check speck

Jones bar guide",,Classic
Daiquiri #4,"50ml white rum
10ml marachino
25ml lime juice 
(5ml sugar?)",White Rum,Shake,Coupette,,Sour,,Blended and made at La Floridita,,Classic
Daiquiri #5,"45ml white rum
7.5ml marachino 
7.5ml grenadine 
25ml lime juice ",White Rum,Shake,Coupette,,Aromatic,,,,Classic
Daisy de Santiago,"45ml light rum
10ml yellow chartreuse 
30ml lime 
5ml sugar syrup
",White Rum,Build,Rocks,Mint sprigs,Sour,,,,
Honeysuckle,"30ml lime, 20ml honey syrup, 50ml light rum",White Rum,Shake,Coupette,,Sour,,,,Classic
Rumble,"40ml White Rum
25ml Lemon
10ml Sugar
float 10ml Cassis",White Rum,Shake,Rocks & Crushed ice,Cassis float,Sour,,Mickt McIlroy,,Modern Classic
Ti Punch,"50ml agricole 
1/2 lime cut and muddles
Bsp brown sugar",White Rum,muddle and shake,Rocks & Crushed ice,lime wedge,Sour,,,,Classic
20th Century,"40ml Gin
20ml Cacao
20ml Cocchi Americano
20ml Lemon juice",Gin,Shake,Coupette,Lemon Twist,Sour,,"Cafe Royal 1937
C.A Tuck",,
Alaska,"60ml Gin
20ml Yellow Chartreuse
2 dash orange bitters",Gin,Stir,Coupette,Lemon Twist,Martini,,Harry Craddock The Savoy 1930,,Classic
Allies cocktail,"40ml gin
40ml sweet vermouth 
5ml kümmel ",Gin,Stir,Coupette,Lemon Twist,Martini,,Jones bar guide,,Classic
Archangel,"60ml gin
20ml Aperol
bruised cucumber",Gin,Stir,Coupette,Lemon Twist,Martini,,Micky M&H,,Modern Classic
Arsenic & Old lace,"50ml gin
20ml Dry vermouth
10ml creme de violette
dash absinthe",Gin,Stir,Coupette,orange twist,Aromatic,,Cosby Gaige cocktail guide 1945,,Classic
Astoria,"40ml Gin
40ml Dry Vermouth
2 dash orange",Gin,Stir,Coupette,Lemon Twist,Martini,,"Old Wardorf Astoria martini

listed in Ted Saucier ""Bottoms up!"" 1951
",,Classic
Bees Knees,"50ml Gin
20ml Lemon
20ml Honey syrup",Gin,Shake,Coupette,Lemon Twist,Sour,,"The Ritz Paris
Ted Saucier Bottoms Up! 1951
",,Classic
Bennett Cocktail,"50ml gin
25ml lime 
15ml sugar syrup 
2 dash angostura ",Gin,Shake,Coupette,Naked,Sour,,Cocktails: How to mix them 1922,,Original
Bermuda rose cocktail,"40ml gin
20ml apry
20ml lemon juice
Bsp grenadine",Gin,Shake,Coupette,,Sour,,Jones bar guide,,
Bramble,"40ml Gin
25ml Lemon
10ml Sugar
float 10ml Cassis",Gin,Shake,Rocks & Crushed ice,Cassis float,Sour,,Dick Bradsell,,Modern Classic
Bronx terrace,"30ml gin
15ml dry/bianco vermouth
25ml lime juice 
15ml sugar",Gin,Shake,Coupette,,Sour,,Check speck,,Classic
Campden,"45ml gin
15ml Cointreau
15ml lillet ",Gin,Shake,Coupette,Lemon Twist,Martini,,"Check speck on method and garnish 

Jones bar guide",,Varient
Casino,"50mls Gin
20mls Maraschino
20mls Fresh Lemon Juice
2-Dash Orange Bitters ",Gin,Shake,Coupette,Lemon Twist,Aromatic,,Harry Craddock the Savoy 1930,,Classic
Charlie Lindberg,"40ml gin
20ml lillet
10ml apry
Dash orange bitters",Gin,Stir,Coupette,Lemon Twist,Martini,,,,Classic
Charme de Paris,"30ml gin
30ml sweet vermouth
10ml dark rum
Dash absinthe / suze ",Gin,Stir,Rocks,Lemon Twist,Sipper,,,,
Chelsea Sidecar,"45ml Gin
20ml Triple sec
20ml lemon",Gin,Shake,Coupette,Lemon Twist,Sour,,,,
Claridge cocktail,"30ml Gin
30ml Dry Vermouth 
10ml Apricot 
10ml Cointreau",Gin,Stir,Coupette,Lemon Twist,Sipper,,,,Original
Comsonaut,"60ml Gin
25ml lemon
bar spoon rasp jam",Gin,Shake,Coupette,,Sour,,look at seasonal jams,,Classic
Coo-wee!,"50ml Gin
20ml Lemon
20ml Orgeat
2 dash ango
dash absinthe
",Gin,Shake,Coupette,,Sour,,,,Classic
Corpse reviver #2,"25ml beefeater
25ml lillet blanc
25ml dry curacau
25ml lemon juice
dash absinthe",Gin,Shake,Coupette,Lemon disc,Sour,,,,Classic
Debutante,"2 dash orange bitters, 30ml lime, 20ml grenadine, 50ml gin",Gin,Shake,Coupette,,Sour,,,,Classic
Dick JNR,"20mls Gin
20mls Cocchi Americano
20ml Fresh Lime Juice
25mls Apricot Brandy 
1-Dash Orange Bitters",Gin,Shake,Coupette,,Sour,,"Patrick Gavin Duffy
Official Mixer's Manual 1934",,
Fairbank Cocktail,"50ml Gin
20ml Dry Vermouth
2 dash orange bitters
bsp Creme De Noyux",Gin,Stir,Coupette,Cherry,Martini,,Harry MacElhones ABC of Mixing 1922 named after Douglass Firbanks,,Classic
Fitzgerald,"– 20ml lemon, 20ml sugar syrup, 50ml gin, 2 dash ango",Gin,Shake,Coupette,,Sour,,Dale Degroff,,Modern Classic
Ford,"40ml Gin
20ml dry Vermouth
10ml Benedictine
2 dash orange bitters",Gin,Stir,Coupette,orange twist,Martini,,"1895 modern American drinks,",,
Franks Special,"50ml Gin
15ml Peche
15ml Dry vermouth",Gin,Stir,Coupette,Lemon Twist,Martini,,"Frank Meier 
The Artistry of mixing drinks 1934",,Classic
French 75,"40ml gin 
25ml lemon
25ml sugar syrup
Top champs ",Gin,shake and top,Highball,orange slice,Highball,,,,Classic
Fresh Gimlet,"25ml lime, 25ml sugar syrup, 50ml gin",Gin,,Coupette,,Sour,,,,Classic
Hanky Panky,"40ml Gin
40ml Sweet vermouth
5ml Fernet Branca",Gin,Stir,Coupette,orange twist,Martini,,Ada Coleman the savoy,,Classic
Hays Collins,"50ml Gin
20ml lemon
20ml sugar
dash absinthe
top soda
",Gin,shake and top,Highball,"Cherry,orange slice",Highball,,M&H NYC,,Modern Classic
Jabberwock,"30ml Gin
30ml Dry Vermouth
30ml Fino
2 dash Orange bitters",Gin,Stir,Coupette,Lemon Twist,Martini,,,,Classic
Jasmine,"25ml beefeater gin
25ml campari
25ml dry curacao
25ml lemon juice
",Gin,Shake,Coupette,Lemon disc,Sour,,,,
London Calling,"45ml gin
15ml fino sherry
15ml lemon juice
15ml sugar
2 dash orange bitters",Gin,Shake,Coupette,grapefruit twist,Sour,,Chris Jepson 2002 London M&H,,Modern Classic
Loud Speaker,"20ml Cognac
20ml Gin
20ml Triple sec
20ml lemon",Gin,Shake,Coupette,Lemon Twist,Sour,,,,
Martini (ford),"35ml Gin
35ml Dry Vermouth
Bsp benedictine
3 dash Orange bitters",Gin,Stir,Coupette,orange twist,Martini,,,,Classic
Martini (Libecans),"40ml gin
40ml dry vermouth
Dash orange bitters 

Garnish is extra everything",Gin,Stir,Coupette,Lemon twist & olives,Martini,,Across all Mr Lyan venues & served in all British Airway lounges across the world. In joke with Rob and Mr Lyan calling rob fat,2021-06-01 06.30.25.jpg (https://v5.airtableusercontent.com/v3/u/48/48/1766390400000/s6MkrEgQn5KZwrHr5Izp1Q/GddN5q1I4_hOwl7SNDhjLFjc1K8Es3H-NXHL-mwMCWlOf8q92nze5P-Q__rCaV-BjVxYrA2utwtcUtwusaTMlDvzHktE79WIVs7c4NvhHE11mcF3nF6efHCJa15Gqc9DdNzUCOX-Co7npm5tCtQR_s7LNiFQK8vL3y-oVyGN4M8/tSWbY2igjiCoiPgXcy5mAkc1bXhMA9TapfU6qAHYKTQ),Modern Classic
Pegu Club,"35ml Gin
15ml Dry triple sec
25ml lime
10ml sugar
2 dash ango
1 dash orange",Gin,Shake,Coupette,,Aromatic,,Barflies and Cocktails 1927,,Classic
Self starter,"30ml gin
20ml lillet blanc
7.5ml Apricot 
Bsp Absinthe ",Gin,Stir,Coupette,Lemon disc,Sipper,,,,
Shakey Pete’s Ginger Brew,"50ml gin
15ml ginger syrup
15ml lemon juice
Top with pale ale - Lord Nelson ",Gin,shake and top,Highball,Candied Ginger,Highball,,,,Modern Classic
Stay up late,"45ml Gin
15 Coganc
20ml lemon
20ml sugar
dash absinthe
top soda
",Gin,shake and top,Highball,Cherry,Highball,,,,Classic
Swan,"30ml gin
20ml dry vermouth
20ml lime
10ml Orgeat
Dash absinthe 
Dash orange bitters ",Gin,Shake,Coupette,,Aromatic,,Pearl classic,,Classic
The Business,"50ml Gin
20ml Lime
20ml Homey syrup",Gin,Shake,Coupette,,Sour,,"Sasha Petraske
M&H 2002",,Modern Classic
Thumbs up,"25ml gin
15ml Green Chartreuse
15ml Marachino
15ml Aperol
20ml Lime",Gin,Shake,Coupette,Lemon Twist,Aromatic,,Micky McIlroy,,Modern Classic
Tom Collins,"25ml lemon, 25ml sugar syrup, 50ml gin, top soda",Gin,shake and top,Highball,"Cherry,orange wedge",Highball,,,,Classic
Too Soon?,"Orange slice, 25ml lemon, 25ml sugar, 25ml cynar, 25ml gin ",Gin,Shake,Coupette,,Aromatic,,"Sam Ross, Milk and Honey 2011",,Modern Classic
Trinity,"25ml Gin, 25ml Sweet Vermouth, 25ml Dry Vermouth",Gin,Stir,Coupette,orange twist,Sipper,,Harry Craddock 1930,,Classic
Turf Club,"40ml gin
40ml dry vermouth
5ml marachino 
Dash orange 
Dash absinthe ",Gin,Stir,Coupette,"Lemon Twist,Cherry",Martini,,Harry Johnson spec,,
Tuxedo #4 (tussetto),"50ml gin
25ml fino style Sherry
Dash orange bitters
",Gin,Stir,Coupette,Lemon Twist,Martini,,Janbawok / tuxedo crossover,,Classic
Tuxedo 2,"35ml gin
35ml dry vermouth
Bsp marachino 
Dash absinthe 
Dash orange ",Gin,Stir,Coupette,"Lemon Twist,Cherry",Martini,,Harry Johnson’s 1900 bartenders manual,,Classic
Vesper,"60ml Gin
20ml Vodka
10ml Lillet",Gin,Shake,Coupette,Lemon Twist,Martini,,Ian flemming Casino Royale 1953,,Classic
White Lady,"45ml Gin
20ml Triple sec
20ml lemon
Egg shite",Gin,Shake,Coupette,Egg white foam,Sour,,,,
"White Negroni
","40ml Gin
20ml Dry Vermouth
20ml Suze",Gin,Stir,Rocks,Lemon Twist,Aromatic,,Wayne Collins,,Modern Classic
A La Louisiane,"40ml Rye
20ml Sweet Vermouth
20ml Benedictine
2 Dash Pey
1 Dash Absinthe",Rye,Stir,Rocks,Lemon Twist,Sipper,,restaurant De La Louisiane,,Classic
Creole,"50 Michters rye
15 sweet vermouth 
10 amer picon 
10 Dom Benedictine ",Rye,Stir,Rocks,Lemon disc,Sipper,,,,
Fairbank Cocktail,"20ml Rye
20ml Yellow Chartreuse
20ml Marachino
20ml Lemon juice",Rye,Shake,Coupette,Cherry,Aromatic,,Phil Ward Pegu club 2006,,Modern Classic
Red Hook,"50ml Rye
15ml Punt E Mes
15ml Maraschino",Rye,Stir,Coupette,Cherry,Manhatten,,Enzo Errrico,,Modern Classic
Remember the Maine,"50ml Rye
20ml sweet vermouth
10ml Cherry herring
2 dash ango
1 dash absinthe",Rye,Stir,Coupette,Lemon Twist,Manhatten,,Charles H. Baker Gentlemans Companion 1939,,Classic
Sazerac,"50ml Rye
5-10ml sugar syrup
3 dash Peychauds
Absinthe rinse glass",Rye,Stir,Small Rocks,Lemon Twist,Sipper,,,,Classic
Sazerac (New York),"25ml Rye
25ml Cognac
5ml Sugar
3 dash Peychauds
Absinthe rinse glass",Rye,Stir,Small Rocks,Lemon Twist,Sipper,,,,Classic
After all,"40ml Applejack
25ml peach liqueur
15ml lemon
",Applejack,Shake,Coupette,Lemon Twist,Sour,,"Harry Macellone
Cocktails and Barflies
1927",,Classic
Angel Face,"25ml Gin
25ml Calvados
25ml Apry",Applejack,Stir,Coupette,,Martini,,Harry Craddock the savoy 1930,,Classic
Angel Sour,"25ml Gin
25ml Calvados
25ml Apry
25ml Lemon
egg white
top soda
",Applejack,shake and top,Fizz,Ango bitters,Fizz,,,,
Golden Delicious,"50 Applejack
5 beefeater
20 3:1 aromatic honey water
25 lemon",Applejack,Shake,Rocks,"Lemon wheel,bay leaf circle",Sour,,,,
Jack Rose,"20ml lime, 20ml grenadine, 50ml applejack",Applejack,Shake,Coupette,,Sour,,,,Classic
Pan Am Clipper,"50ml Applejack
25ml lime juice
15ml grenadine
dash absinthe",Applejack,Shake,Coupette,lime twist,Aromatic,,"Charles H baker
gentlemans companion 1939",,Classic
El Diablo,"45ml Tequila
15ml Creme de Cassis
20ml Sweetened Ginger
15ml Lime Juice
top soda",tequila,shake and top,Highball,Ginger,Highball,,House ginger syrup,,Classic
Juschu,"60ml Tequila
30ml Lime
22ml Honey 2:1
dash Ango",tequila,Shake,Coupette,,Daiquiri,,,,Modern Classic
Margarita Attaboy,"40ml tequila
20ml cointreau
20ml lime
10ml agave",tequila,Shake,Coupette,,Sour,,,,Classic
Medicina Latina," 20ml lime, 12.5ml ginger syrup, 12.5ml honey syrup, 40ml tequila, 7ml mezcal float",tequila,Shake,Rocks,Candied Ginger,Sour,,"M. Tello, aka tequila Penicillin ",,Modern Classic
Naked and Famous,"25ml lemon, 25ml yellow chartreuse, 25ml Aperol, 25ml mezcal",tequila,Shake,Coupette,,Sour,,"Joaquin Simo, Death and Co NYC 2011",,Modern Classic
Tommys Margarita,"50ml Tequila
25ml Lime juice
20ml Agave",tequila,Shake,Rocks,,Sour,,"Julio Bermejo 1987/88
Tommys San Fransisco",,Modern Classic
Toreador,"30ml tequila
30ml apricot
30ml lime juice",tequila,Shake,Coupette,N/A,Sour,,,,Classic
Between the Sheets,"20ml Aged Rum
20ml Coganc
20ml Cointreu
15ml Lemon
",Aged Rum,Shake,Coupette,Lemon Twist,Aromatic,,Bottoms up! 1951,,Classic
Bitter Mai Tai,"25ml Aged rum (S&C)
25ml Campari
10ml Curacao
25ml Lime
15ml Orgeat",Aged Rum,Shake,Rocks,Mint sprig,Aromatic,,"Jeremy oertal
Dram, Brooklyn 2011",,Modern Classic
Brooklynite,"60ml Aged Rum
30ml Lime
22ml Honey 2:1
dash Ango",Aged Rum,Shake,Coupette,,Daiquiri,,,,Modern Classic
